nickname,timestamp,comment
재리,2022.12.04. 12:51,다시보니까 염정아 진짜 못됐음 예서엄마.. 진심 나쁜 곽미향... 아무리 여기서 혜나가 어른들 찜쩌먹는다 뭐다하지만 혜나 그냥 상처받아서 복수심에 불타오른 어린애에 불과한데 그 애 뺨까지 때리고 몰아친 예서엄마 지도 딸이 있으면서 어찌 저런짓을.. 그러고 아무렇지않게 세상에서 혜나없는 상태로 또 잘먹고 잘살아가는 예서네 가족.. 에휴 너무 맘아프다
Ljn,2022.12.01. 07:30,난 아직도 이해가 안 되는게 예서 다른 고등학교로 편입 할 수 있다는데 왜 안 했는지 모르겠음 예서 실력이면 현역 정시로 설의 무조건 갈텐데
미소의테레사,2022.11.28. 04:28,난 아직도 이해가 안 되는게 예서 다른 고등학교로 편입 할 수 있다는데 왜 안 했는지 모르겠음 예서 실력이면 현역 정시로 설의 무조건 갈텐데
호두,2022.11.18. 18:08,헐 호두 아프다 ㅠ ㅋ
호두,2022.11.18. 17:54,현실이 더 잔혹하고 치열해서 슬프다. 드라마는 드라마일뿐.
리베,2022.11.18. 17:47,세리가 제일 이해 안 가는 캐릭터인데 뭘 잘했다고 잘 한거 하나 없는데
보라펄보라,2022.11.18. 17:45,ㅋㅋㅋ
보라펄보라,2022.11.18. 17:44,우주 넘 감성에 빠져있음  그런걸 꼭 학교때려쳐야 알수있고 느낄수 있는건가  드라마니깬 ㅋ
리베,2022.11.18. 17:40,왜이렇게 차교수가 불쌍하지
호두,2022.11.18. 17:02,근데 예서맘은 아무 처벌 안받음?  ㅁㅊ서울대타령할마씨가 젤 극성이네
호두,2022.11.18. 16:28,마지막 못봤는데   곧 하네
리베,2022.11.18. 14:07,사람시켜서 죽이는것보다 극단으로 몰아 붙여서 스스로 죽게하는게 김주영 스타일에 더 맞는거 같은데 혜나 자살이 아니고 타살인거 부터 별로였어요
짱구리아,2022.11.18. 14:02,하아....염정아배우
짱구리아,2022.11.18. 13:47,와 우주엄마 절규...이태란배우 오열연기에 눈물나네요
사자자리,2022.11.17. 17:59,범인이 누규??
진이,2022.11.15. 20:44,본방할때 보구 진짜 오랜만에 봤는데잼있다  물론마무리가 좀 별로긴했음
보라펄보라,2022.11.14. 17:56,"네 안녕하세요.  누구신지 잘은 모르지만  인사를 하시길래....톡을 자주못봐서요 ㅎ
이거보시나봐요 지금...저도 집안일하면서 
보느라..잼있게봐요 ㅎ"
콩이,2022.11.14. 17:42,보라님 안녕하세요
보라펄보라,2022.11.14. 17:18,올만에 보니  잼있네요
콩이,2022.11.14. 16:54,시청률   대박인데요
콩이,2022.11.14. 16:54,저는 잠깐 보았어요
콩이,2022.11.14. 16:50,안녕하세요
보라펄보라,2022.11.14. 16:34,재방하네 오늘부터..잼있게봤는데
김동건,2022.11.12. 23:20,지금봐도 재밌네
문지현,2022.10.31. 03:20,우와
산악인,2022.10.26. 10:50,경찰은 저리 막 잡아가두 되니....
산악인,2022.10.26. 10:49,결말은 본인 생각하기 나름
산악인,2022.10.26. 10:48,결말은 본인 생각하기 나름
산악인,2022.10.26. 10:48,결말은 본인 생각하기 나름
산악인,2022.10.26. 10:47,아쉬운건 어쩔수 없구나
apr,2022.10.24. 23:54,레전드였지
소근소근,2022.10.14. 13:55,혜나가 죽지 않았고  다 뚜까 패버리는게 더  막장이었을듯 후훗 아쉬움
청담동박감독,2022.09.22. 02:08,스앵님 빼면 캐슬 사람들 다 남탓만하는 위선자들임...
252,2022.09.18. 20:35,다시 봤는데 너무 재밌네요 ~
soub****,2022.08.31. 17:06,김혜나 저만 안불쌍한가요?
도비,2022.08.13. 16:24,김혜나 넘 싫음 간사함
오렌지,2022.08.13. 03:47,진짜 이 드라마 스릴감이 장난아니예요!!!! 이걸 이제야 본게 후회할 정도로 잼써요
이정민,2022.08.12. 00:43,다시한번 정주행중 너무 재밌네욬ㅋㅋ
웃찾아,2022.07.30. 03:30,흠…차라리 혜나를 죽이지 말고 혼수 식물인간 상태로 설정했다가 마지막회 끝날쯤 깨어나는 것으로 했었다면 좋았을걸…. 아쉬웡
지아,2022.07.30. 01:52,"이제 정주행했는데 너무 재밌어요 왜 이제 봤나 싶어요ㅋㅋㅋㅋㅋㅋㅋ 스토리부터 연출, 배우까지.. 아직까지 여운이 남는 드라마입니다 명작이에요 걍.."
5919so,2022.06.15. 14:20,18화까진 재밌었는데 19화 뒷부분부터 너무 내용. 분위기 급 전환이네
신데렐라,2022.06.10. 13:41,"블랙코미디네~연기자들이  너무 연기를 잘 하셔서
감동입니다~
피라미드를 집어 던지는 쌍둥이 모습을 보고 시원했어요~
조물주는 지구를 둥글게 만들었는데
인간은 피라미드나 만들고~"
묘묘,2022.06.06. 07:17,이제야 정주행하는데김혜나가 악역이네요 이 드라마는
kyj,2022.05.31. 11:35,자야는디.. 잠을 못자네..돌겟다
모모링,2022.05.01. 16:01,스카이 캐슬 진짜 명작 .. 스토리와 전체적 분위기와 음악감독 배우들 여자들과 애들까지 모두 완벽함
모모링,2022.05.01. 15:56,개꿀잼임 스카이캐슬 최고임 난 예서 귀여워..  혜나같은애들이 무서워
이1,2022.04.23. 01:30,개재밌음
서현 예진,2022.04.11. 14:09,죽일려다가 살려주니까
